Frequency (Hz)	Level (dB)
43.066406	-49.903194
86.132813	-37.664577
129.199219	-33.582497
172.265625	-34.518036
215.332031	-35.678543
258.398438	-34.972355
301.464844	-31.683437
344.531250	-27.409233
387.597656	-27.542070
430.664063	-30.611429
473.730469	-29.740246
516.796875	-28.180676
559.863281	-29.630722
602.929688	-35.424042
645.996094	-34.793739
689.062500	-32.486897
732.128906	-33.823021
775.195313	-35.815495
818.261719	-38.508556
861.328125	-39.637398
904.394531	-40.006504
947.460938	-41.126286
990.527344	-42.190960
1033.593750	-41.374371
1076.660156	-40.106239
1119.726563	-40.894512
1162.792969	-42.473782
1205.859375	-41.168072
1248.925781	-39.902279
1291.992188	-39.118942
1335.058594	-37.134995
1378.125000	-36.896576
1421.191406	-38.702183
1464.257813	-37.839527
1507.324219	-39.433887
1550.390625	-39.546227
1593.457031	-40.516384
1636.523438	-44.502617
1679.589844	-42.011948
1722.656250	-39.851902
1765.722656	-38.445465
1808.789063	-37.681351
1851.855469	-38.372738
1894.921875	-37.778152
1937.988281	-38.035671
1981.054688	-37.756012
2024.121094	-34.818848
2067.187500	-33.239136
2110.253906	-34.222664
2153.320313	-38.105774
2196.386719	-33.813389
2239.453125	-32.115208
2282.519531	-33.589710
2325.585938	-37.887386
2368.652344	-41.995567
2411.718750	-44.163242
2454.785156	-43.197914
2497.851563	-41.691174
2540.917969	-40.346607
2583.984375	-41.254200
2627.050781	-43.455368
2670.117188	-43.207825
2713.183594	-41.646633
2756.250000	-40.777676
2799.316406	-39.128086
2842.382813	-37.721764
2885.449219	-38.184509
2928.515625	-36.043972
2971.582031	-35.162888
3014.648438	-36.399414
3057.714844	-37.689915
3100.781250	-37.207397
3143.847656	-34.610462
3186.914063	-33.571812
3229.980469	-33.726059
3273.046875	-34.443024
3316.113281	-37.127407
3359.179688	-38.603416
3402.246094	-39.114513
3445.312500	-38.419281
3488.378906	-38.005753
3531.445313	-37.793858
3574.511719	-38.585949
3617.578125	-40.288380
3660.644531	-40.974911
3703.710938	-41.668106
3746.777344	-42.200531
3789.843750	-43.569622
3832.910156	-44.841732
3875.976563	-44.393902
3919.042969	-43.332359
3962.109375	-42.719479
4005.175781	-42.299362
4048.242188	-40.790802
4091.308594	-38.085541
4134.375000	-35.893185
4177.441406	-35.263729
4220.507813	-37.079502
4263.574219	-39.032993
4306.640625	-39.873905
4349.707031	-39.838650
4392.773438	-39.038971
4435.839844	-37.343025
4478.906250	-35.253029
4521.972656	-36.300823
4565.039063	-38.786007
4608.105469	-38.949299
4651.171875	-40.031216
4694.238281	-42.027454
4737.304688	-42.712807
4780.371094	-43.280315
4823.437500	-40.852962
4866.503906	-39.262093
4909.570313	-38.243774
4952.636719	-37.658051
4995.703125	-38.257614
5038.769531	-38.632820
5081.835938	-39.555820
5124.902344	-39.039616
5167.968750	-36.854343
5211.035156	-36.828365
5254.101563	-37.342449
5297.167969	-39.174263
5340.234375	-41.217262
5383.300781	-42.966156
