Frequency (Hz)	Level (dB)
43.066406	-53.220444
86.132813	-38.290874
129.199219	-35.042446
172.265625	-39.701324
215.332031	-39.675564
258.398438	-38.041740
301.464844	-38.563061
344.531250	-38.212402
387.597656	-40.804035
430.664063	-42.173378
473.730469	-37.710281
516.796875	-38.573349
559.863281	-40.461048
602.929688	-42.413548
645.996094	-43.087906
689.062500	-42.864235
732.128906	-43.837578
775.195313	-44.775162
818.261719	-44.643116
861.328125	-44.465977
904.394531	-46.180706
947.460938	-46.253738
990.527344	-46.566055
1033.593750	-46.746288
1076.660156	-47.566204
1119.726563	-49.594666
1162.792969	-51.010601
1205.859375	-51.590130
1248.925781	-52.918484
1291.992188	-53.327232
1335.058594	-53.047234
1378.125000	-54.124187
1421.191406	-55.008659
1464.257813	-55.948322
1507.324219	-56.182915
1550.390625	-56.902790
1593.457031	-56.024773
1636.523438	-55.881657
1679.589844	-55.888035
1722.656250	-56.386307
1765.722656	-55.599991
1808.789063	-54.330498
1851.855469	-52.775738
1894.921875	-54.816021
1937.988281	-57.030045
1981.054688	-56.930241
2024.121094	-57.883934
2067.187500	-59.574978
2110.253906	-58.572418
2153.320313	-57.800388
2196.386719	-57.618122
2239.453125	-58.967564
2282.519531	-59.161518
2325.585938	-58.737377
2368.652344	-61.020550
2411.718750	-62.570496
2454.785156	-62.994331
2497.851563	-61.946644
2540.917969	-62.888359
2583.984375	-64.025101
2627.050781	-63.919491
2670.117188	-64.097794
2713.183594	-63.007225
2756.250000	-63.559818
2799.316406	-64.591820
2842.382813	-63.245464
2885.449219	-63.876583
2928.515625	-64.863892
2971.582031	-64.575279
3014.648438	-63.096897
3057.714844	-61.784084
3100.781250	-62.128006
3143.847656	-60.907578
3186.914063	-58.270031
3229.980469	-56.975712
3273.046875	-57.058743
3316.113281	-58.247227
3359.179688	-58.469437
3402.246094	-57.196270
3445.312500	-57.812870
3488.378906	-59.385094
3531.445313	-60.074230
3574.511719	-59.277214
3617.578125	-58.282478
3660.644531	-55.192204
3703.710938	-53.447643
3746.777344	-54.945297
3789.843750	-56.467667
3832.910156	-56.641941
3875.976563	-56.759792
3919.042969	-57.103935
3962.109375	-57.039093
4005.175781	-54.450893
4048.242188	-52.615860
4091.308594	-51.700043
4134.375000	-48.382507
4177.441406	-46.877808
4220.507813	-45.992722
4263.574219	-44.963425
4306.640625	-45.909950
4349.707031	-47.091263
4392.773438	-48.782021
4435.839844	-47.928669
4478.906250	-47.992306
4521.972656	-47.741211
4565.039063	-48.340679
4608.105469	-48.382130
4651.171875	-48.741226
4694.238281	-49.971222
4737.304688	-49.110825
4780.371094	-48.081470
4823.437500	-48.745220
4866.503906	-48.884983
4909.570313	-47.680847
4952.636719	-48.000683
4995.703125	-47.329205
5038.769531	-47.369808
5081.835938	-46.048347
5124.902344	-44.989079
5167.968750	-44.604748
5211.035156	-45.131916
5254.101563	-44.977993
5297.167969	-45.842350
5340.234375	-46.402946
5383.300781	-45.188465
5426.367188	-44.527637
5469.433594	-44.154308
5512.500000	-43.921329
5555.566406	-43.515457
5598.632813	-45.576817
5641.699219	-49.382919
5684.765625	-51.942326
5727.832031	-52.912628
5770.898438	-54.584190
5813.964844	-52.815769
5857.031250	-50.927883
5900.097656	-51.986698
5943.164063	-51.859386
5986.230469	-50.138226
6029.296875	-49.972832
6072.363281	-50.599174
6115.429688	-51.240597
6158.496094	-51.141270
6201.562500	-50.190060
6244.628906	-49.789841
6287.695313	-49.846378
6330.761719	-50.287495
6373.828125	-50.523411
6416.894531	-50.018913
6459.960938	-49.078152
6503.027344	-48.897121
6546.093750	-50.373043
6589.160156	-51.337917
6632.226563	-52.325737
6675.292969	-52.076469
6718.359375	-52.305012
6761.425781	-54.604481
6804.492188	-55.254478
6847.558594	-57.355827
6890.625000	-57.532631
6933.691406	-58.358536
6976.757813	-57.161610
7019.824219	-57.810829
7062.890625	-60.054729
7105.957031	-60.077454
7149.023438	-62.632389
7192.089844	-63.329411
7235.156250	-63.603832
7278.222656	-63.951675
7321.289063	-62.135052
7364.355469	-63.095139
